client type , rating , review title , review_content
desktop , 5 , " mình nhận được hàng sáng nay , tét thử nuwocs 1h không ksao hết , chống nuwocs tốt , " , " dây da chắc_chắn k cứng dễ đeo , nhìn xịn_xịn "
androidApp , 2 , quá thất_vọng , " giao hàng nhanh , thiếu dụng_cụ chỉ được 4 thứ , không có pin dự_phòng , quay hình gõ thu âm nghe không được "
desktop , 3 , tốt trong tầm giá ,
androidApp , 4 , không net mấy nhưng bên ngoài đẹp thì ok ,
desktop , 3 , " Tốt , vận_hành trơn chu . " , " CAM dễ sử_dụng , hình_ảnh tốt so với giá tiền . Dùng app Yoosee thì không xoá được Guest_Password , phải dùng đúng app là 163eye.cc như trong HDSD thì được . Không biết CAM có backdoor gì không , chưa có thời_gian nghiên_cứu kỹ xem CAM dùng dịch_vụ cloud nào để lưu IP , không biết tính bảo_mật đến đâu . Nhưng với tầm giá này thì không đòi_hỏi gì thêm . "
desktop , 3 , Camera IP , " Tốt , tiện_lợi , giá hợp_lí , đã sử_dụng được 3 tháng Nhược_điểm : phần_mềm hỗ_trợ CMS trên PC chưa nhiều chức_năng , không nâng_cấp lên giá quảng_cáo không bao_gồm thẻ_nhớ "
desktop , 3 , Dùng được , " Camera dễ cài_đặt , Hình_ảnh tạm chấp_nhận không nét lắm , điều_khiển quay 360 độ trơn_tru dễ_dàng , hồng_ngoại bình_thường , phát âm_thanh không to lắm , bên trong camera trang_trí mấy cái đèn nhấp_nháy màu xanh dương , buổi tối nó hắt ra chân camera trông thì đẹp_mắt nhưng lại lộ , giá đừng có mấy cái đèn đó . Không biết có bền không . Với giá tiền 500K thì nên mua . "
iosApp , 2 , " " , CÁI NÀY MỜ HƠN MUA BÊN SHOP HOLA SHOP NÊN COI LẠI LẦN SAU MUA THÌ KO CẦN CÁI LOẠI CỨ SOAY QUA SOAY LẠI MỖI LẦN CẮM ĐIỆN ĐÂU BẤT_TIỆN LẮM
desktop , 5 , , " Bộ_đàm nghe rất rõ , giao hàng nhanh , tiếp_nhận và giải_đáp thắc_mắc của Nhà_cung_cấp rất rõ_ràng và nhiệt_tình "
mobile , 5 , Đáng mua , " Đây là loại camera mà tôi truy_tìm bấy_lâu_nay , mấy nhà bán hàng khác bán giá cao hơn nhưng khi hỏi có lưu vị_trí không thì ai cũng ko có , riêng sản_phẩm này vừa rẻ , chất_lượng ghi_hình trong_vắt , bắt wifi rất nhạy , thu sóng mạnh , ghi_hình nhanh , còi báo_động to , phát_hiện chuyển_động ban_đêm thì đố ăn_trộm vào nhà được , chỉ cần một con mèo đi ngang thôi nó cũng hú ầm_ầm , có chức_năng lưu 4 vị_trí , muốn xem vị_trí nào thì bấm số tương_đương là nó sẽ tự_động xoay đến vị_trí đó , điều mà các nhà bán hàng khác ko có . Nói_chung là rất đáng mua . Vừa rẻ lại hợp túi_tiền , chất_lượng tốt , đóng_gói chu_đáo . "
